Trial,Result,Mapping,NumberTries,SuccessRate,MaxLoopLength,MinLoopLength,AverageLoopLength,NumLoops
584,1,"{1: 3, 2: 10, 3: 6, 4: 4, 5: 2, 6: 1, 7: 8, 8: 7, 9: 5, 10: 9}",5,0.3333333333333333,4,1,2.5,4
585,0,"{1: 9, 2: 8, 3: 10, 4: 5, 5: 7, 6: 1, 7: 2, 8: 3, 9: 6, 10: 4}",5,0.33276450511945393,7,3,5.0,2
586,1,"{1: 8, 2: 6, 3: 3, 4: 10, 5: 9, 6: 2, 7: 4, 8: 1, 9: 5, 10: 7}",5,0.3339011925042589,3,1,2.0,5
587,0,"{1: 1, 2: 4, 3: 9, 4: 3, 5: 6, 6: 2, 7: 8, 8: 10, 9: 7, 10: 5}",5,0.3333333333333333,9,1,5.0,2
588,1,"{1: 5, 2: 2, 3: 6, 4: 1, 5: 4, 6: 10, 7: 9, 8: 8, 9: 3, 10: 7}",5,0.33446519524617996,5,1,2.5,4
589,0,"{1: 4, 2: 8, 3: 1, 4: 3, 5: 7, 6: 9, 7: 6, 8: 5, 9: 10, 10: 2}",5,0.3338983050847458,7,3,5.0,2
590,0,"{1: 3, 2: 2, 3: 5, 4: 1, 5: 7, 6: 6, 7: 10, 8: 4, 9: 8, 10: 9}",5,0.3333333333333333,8,1,3.3333333333333335,3
591,0,"{1: 3, 2: 1, 3: 2, 4: 4, 5: 9, 6: 7, 7: 10, 8: 6, 9: 8, 10: 5}",5,0.3327702702702703,6,1,3.3333333333333335,3
592,1,"{1: 6, 2: 2, 3: 9, 4: 1, 5: 3, 6: 10, 7: 8, 8: 5, 9: 7, 10: 4}",5,0.33389544688026984,5,1,3.3333333333333335,3
593,0,"{1: 3, 2: 4, 3: 10, 4: 6, 5: 5, 6: 7, 7: 9, 8: 2, 9: 1, 10: 8}",5,0.3333333333333333,9,1,5.0,2
594,1,"{1: 9, 2: 2, 3: 7, 4: 5, 5: 8, 6: 6, 7: 3, 8: 1, 9: 4, 10: 10}",5,0.334453781512605,5,1,2.0,5
595,0,"{1: 5, 2: 6, 3: 4, 4: 9, 5: 7, 6: 10, 7: 2, 8: 8, 9: 3, 10: 1}",5,0.3338926174496644,6,1,3.3333333333333335,3
596,0,"{1: 8, 2: 2, 3: 10, 4: 6, 5: 5, 6: 1, 7: 3, 8: 7, 9: 4, 10: 9}",5,0.3333333333333333,8,1,3.3333333333333335,3
597,0,"{1: 7, 2: 2, 3: 8, 4: 5, 5: 6, 6: 3, 7: 1, 8: 9, 9: 4, 10: 10}",5,0.33277591973244147,6,1,2.5,4
598,0,"{1: 4, 2: 10, 3: 8, 4: 5, 5: 7, 6: 1, 7: 2, 8: 3, 9: 6, 10: 9}",5,0.332220367278798,8,2,5.0,2
599,1,"{1: 4, 2: 3, 3: 8, 4: 1, 5: 2, 6: 5, 7: 9, 8: 6, 9: 10, 10: 7}",5,0.3333333333333333,5,2,3.3333333333333335,3
600,1,"{1: 6, 2: 8, 3: 1, 4: 7, 5: 2, 6: 3, 7: 4, 8: 9, 9: 10, 10: 5}",5,0.33444259567387685,5,2,3.3333333333333335,3
601,0,"{1: 4, 2: 9, 3: 6, 4: 2, 5: 3, 6: 8, 7: 5, 8: 10, 9: 7, 10: 1}",5,0.3338870431893688,10,10,10.0,1
602,0,"{1: 7, 2: 10, 3: 3, 4: 4, 5: 2, 6: 8, 7: 5, 8: 9, 9: 1, 10: 6}",5,0.3333333333333333,8,1,3.3333333333333335,3
603,1,"{1: 3, 2: 1, 3: 9, 4: 4, 5: 8, 6: 7, 7: 6, 8: 5, 9: 2, 10: 10}",5,0.3344370860927152,4,1,2.0,5
604,0,"{1: 9, 2: 8, 3: 5, 4: 4, 5: 10, 6: 6, 7: 3, 8: 7, 9: 1, 10: 2}",5,0.3338842975206612,6,1,2.5,4
605,1,"{1: 4, 2: 5, 3: 6, 4: 1, 5: 2, 6: 3, 7: 9, 8: 10, 9: 8, 10: 7}",5,0.334983498349835,4,2,2.5,4
606,0,"{1: 1, 2: 5, 3: 7, 4: 4, 5: 6, 6: 9, 7: 2, 8: 3, 9: 8, 10: 10}",5,0.3344316309719934,7,1,2.5,4
607,0,"{1: 5, 2: 9, 3: 6, 4: 3, 5: 8, 6: 10, 7: 2, 8: 7, 9: 1, 10: 4}",5,0.3338815789473684,6,4,5.0,2
608,0,"{1: 4, 2: 5, 3: 9, 4: 8, 5: 6, 6: 1, 7: 10, 8: 7, 9: 2, 10: 3}",5,0.3333333333333333,10,10,10.0,1
609,0,"{1: 4, 2: 8, 3: 10, 4: 6, 5: 3, 6: 7, 7: 9, 8: 5, 9: 2, 10: 1}",5,0.33278688524590166,10,10,10.0,1
610,1,"{1: 1, 2: 2, 3: 3, 4: 7, 5: 6, 6: 10, 7: 8, 8: 4, 9: 9, 10: 5}",5,0.33387888707037644,3,1,1.6666666666666667,6
611,0,"{1: 2, 2: 8, 3: 1, 4: 7, 5: 9, 6: 5, 7: 3, 8: 6, 9: 4, 10: 10}",5,0.3333333333333333,9,1,5.0,2
612,1,"{1: 1, 2: 3, 3: 5, 4: 4, 5: 2, 6: 10, 7: 6, 8: 7, 9: 9, 10: 8}",5,0.33442088091353994,4,1,2.0,5
613,0,"{1: 6, 2: 4, 3: 7, 4: 8, 5: 3, 6: 10, 7: 9, 8: 1, 9: 5, 10: 2}",5,0.3338762214983713,6,4,5.0,2
614,0,"{1: 9, 2: 7, 3: 2, 4: 3, 5: 1, 6: 8, 7: 10, 8: 5, 9: 4, 10: 6}",5,0.3333333333333333,10,10,10.0,1
615,1,"{1: 8, 2: 4, 3: 7, 4: 2, 5: 10, 6: 5, 7: 1, 8: 3, 9: 6, 10: 9}",5,0.3344155844155844,4,2,3.3333333333333335,3
616,0,"{1: 1, 2: 8, 3: 4, 4: 9, 5: 6, 6: 3, 7: 2, 8: 10, 9: 7, 10: 5}",5,0.3338735818476499,9,1,5.0,2
617,0,"{1: 6, 2: 4, 3: 3, 4: 9, 5: 5, 6: 1, 7: 10, 8: 2, 9: 7, 10: 8}",5,0.3333333333333333,6,1,2.5,4
618,1,"{1: 4, 2: 2, 3: 7, 4: 8, 5: 1, 6: 5, 7: 9, 8: 6, 9: 3, 10: 10}",5,0.3344103392568659,5,1,2.5,4
619,0,"{1: 3, 2: 7, 3: 9, 4: 6, 5: 5, 6: 8, 7: 2, 8: 10, 9: 4, 10: 1}",5,0.3338709677419355,7,1,3.3333333333333335,3
620,0,"{1: 6, 2: 9, 3: 7, 4: 5, 5: 2, 6: 3, 7: 1, 8: 4, 9: 10, 10: 8}",5,0.3333333333333333,6,4,5.0,2
